"id","partName","partDescription","partCode","partMake","partModel","partLastPrice","partAccount","partChargeDepartment","partNotes","partBarcode","partInventoryCode","partCategory_id"
"108","پوسته کلاهک شیر مخلوط ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"109","پیچ ال ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"110","پیچ ام دی اف ۴ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"111","پیچ بست حباب پارکی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"112","پیچ خودکار نمره ۲/۵ - ۱ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"113","پیچ رولپلاک > ۱۰ * ۲۱۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"114","پیچ شیروانی ۴ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"115","پیچ شیروانی ۶ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"116","پیچ نمره ۱۸ - ۷ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"117","پیچ نمره ۲ - ۴ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"118","پیچ نمره ۲ - ۵ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"119","پیچ و مهره نمره ۱۴ - ۱۵ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"120","پیچ و مهره نمره ۱۸ - ۸ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"121","پیچ و مهره نمره ۴ - ۳ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"122","پیچ و مهره نمره ۶- ۵ سانت",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"123","پیچ و مهره نمره ۸ - ۱۰ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"124","پیچ و مهره ورشویی نمره ۴ - ۶ سانت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"125","تابلو آتش نشانی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"126","تابلو تلفنی ۲۰ زوج روکار ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"127","تایل سقفی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"128","تایمر دیجیتالی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"129","تایمر راه پله",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"130","تایمر ستاره مثلث ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"131","تبدیل ۶ * ۱۰ بخاری ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"132","تبدیل آفتابه برنجی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"133","تبدیل سرپیچ چینی بزرگ به کوچک ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"134","تبدیل نمره ۵ / ۱ * ۲ پیسوال ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"135","تبدیل نمره ۱۰ * ۱۲ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"136","تبدیل نمره ۱۰ * ۱۵ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"137","تبدیل نمره ۱۰ * ۱۶ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"138","تبدیل نمره ۱۲ * ۱۶ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"139","تبدیل نمره ۱۲ * ۲۰ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"140","تبدیل نمره ۱۶ * ۲۰ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"141","تبدیل نمره ۲ * ۲ / ۵ جوشی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"142","تبدیل نمره ۲ * ۲ / ۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"143","تبدیل نمره ۲ * ۲ / ۵ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"144","تبدیل نمره ۲ * ۳ مانیسمان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"145","تبدیل نمره ۲ * ۳ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
